wavelength_um,global_tilt_um,direct_normal_um
0.28,4.7309e-20,2.5361e-23
0.2805,1.2307e-18,1.0916999999999999e-21
0.281,5.6895000000000004e-18,6.1253e-21
0.2815,1.5662000000000002e-16,2.7479000000000004e-19
0.282,1.1946e-15,2.8346e-18
0.2825,4.5436e-15,1.3271e-17
0.283,1.8452e-14,6.764599999999999e-17
0.2835,3.536e-14,1.4614000000000002e-16
0.284,7.266999999999999e-13,4.9837999999999995e-15
0.2845,2.4856e-12,2.1624000000000003e-14
0.285,8.0142e-12,8.9998e-14
0.2855,4.2612999999999995e-11,6.4424e-13
0.286,1.3684e-10,2.3502999999999998e-12
0.2865,8.382299999999999e-10,1.8458000000000002e-11
0.287,2.7367e-09,7.2547e-11
0.2875,1.0903e-08,3.6618e-10
0.288,6.2337e-08,2.8061e-09
0.2885,1.7162e-07,9.0651e-09
0.289,5.6265e-07,3.4978e-08
0.2895,2.0749e-06,1.5368e-07
0.29,6.0168000000000006e-06,5.1454e-07
0.2905,1.3783e-05,1.3303e-06
0.291,3.5052e-05,3.896500000000001e-06
0.2915,0.00010913,1.4425e-05
0.292,0.00026829999999999996,4.0789000000000005e-05
0.2925,0.00042685,7.0414e-05
0.293,0.0008646600000000001,0.0001576
0.2935,0.0022707,0.00047095000000000004
0.294,0.0041744,0.00094558
0.2945,0.0065911,0.0015965
0.295,0.012289999999999999,0.0032246
0.2955,0.027826,0.008020600000000001
0.296,0.047904,0.014737
0.2965,0.071345,0.023312
0.297,0.0968,0.033187
0.2975,0.18608,0.067912
0.298,0.28988,0.11127
0.2985,0.35789,0.1427
0.299,0.49211000000000005,0.20323
0.2995,0.86068,0.37386
0.3,1.0205,0.45631
0.3005,1.245,0.5720700000000001
0.301,1.9300000000000002,0.91926
0.3015,2.6914000000000002,1.3201
0.302,2.9209,1.4569999999999999
0.3025,4.284,2.191
0.303,7.0945,3.7332
0.3035,8.9795,4.8044
0.304,9.4701,5.0973
0.3045,11.953,6.4675
0.305,16.462999999999997,8.9336
0.3055,18.719,10.186
0.306,18.576999999999998,10.149999999999999
0.3065,21.107999999999997,11.568
0.307,27.849,15.245999999999999
0.3075,35.635,19.468
0.308,37.837,20.753
0.3085,41.43,22.75
0.309,40.534,22.298
0.3095,43.306,23.671999999999997
0.31,50.939,27.826
0.3105,65.54,35.879
0.311,82.922,45.392
0.3115,84.08,46.156000000000006
0.312,93.376,50.897999999999996
